TimeSlice	Time	bicepsfemorisposterior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
186	0.10044	0.00312026	0.00762336	0.000568987	0.018487	0.374262	0	0.0507852	0.379236	0	0	0
187	0.10098	0.00287114	0.00270335	0.000107787	0.0184939	0.376983	0	0.050308	0.347853	0	0	0
188	0.10152	0.00252459	0	0	0.0185004	0.380663	0	0.049536	0.308626	0	0	0.00460884
189	0.10206	0.00210496	0	0	0.0185063	0.385043	0	0.0485201	0.263941	0.0377837	0.000236178	0.0262252
190	0.1026	0.00163901	0	0	0.0185116	0.389756	0	0.0473397	0.2164	0.0766313	0.00659574	0.0472372
191	0.10314	0.0011614	0	0	0.0185162	0.394433	0	0.0460812	0.169037	0.111622	0.0129715	0.0660619
192	0.10368	0.000710321	0	0	0.0185206	0.398598	0	0.0448626	0.125368	0.139835	0.0188497	0.0808143
193	0.10422	0.000325633	0	0	0.0185248	0.401861	0	0.0437918	0.0890128	0.158612	0.0237184	0.0897804
194	0.10476	4.15134e-005	0	0	0.0185287	0.403797	0.00026572	0.0429818	0.0635586	0.166271	0.0271823	0.0923699
195	0.1053	0	0	0	0.0185323	0.404198	0.00133519	0.0425052	0.0513765	0.162084	0.0289516	0.0885525
196	0.10584	0	0	0	0.0185355	0.40296	0.00238788	0.0424117	0.0534931	0.146705	0.0289366	0.0792173
197	0.10638	0	0	2.8753e-006	0.0185385	0.400228	0.00341717	0.0426949	0.0690213	0.121892	0.0272208	0.0649726
198	0.10692	0.00021293	0.00396949	0.0004812	0.0185413	0.396096	0.0042704	0.0433525	0.096748	0.0895455	0.0239451	0.0470192
199	0.10746	0.00055736	0.00911074	0.000946344	0.0185441	0.390879	0.0049271	0.0443311	0.13408	0.0521607	0.0193806	0.0269755
200	0.108	0.000981364	0.0138226	0.00136145	0.0185469	0.384907	0.0053139	0.0455719	0.177599	0.0127182	0.0138963	0.00620806
201	0.10854	0.00145123	0.0177385	0.0017019	0.0185499	0.378622	0.00550097	0.0469748	0.22358	0	0.00793847	0
202	0.10908	0.00193577	0.0206568	0.001947	0.0185529	0.372321	0.00542321	0.048464	0.268814	0	0.00192119	0
203	0.10962	0.00240267	0.0224192	0.00198205	0.0185556	0.366415	0.00404199	0.0499378	0.31043	0	0	0
204	0.11016	0.00274634	0.0215709	0.00183039	0.0185592	0.362169	0.00311837	0.0510991	0.337347	0	0	0
205	0.1107	0.00294362	0.0186766	0.00151604	0.0185637	0.35979	0.00163078	0.0518714	0.348643	0	0	0
206	0.11124	0.00297803	0.0141734	0.00107402	0.0185688	0.359401	0.000385878	0.0521955	0.34399	0	0	0
207	0.11178	0.00284742	0.00856669	0.000545088	0.0185745	0.360948	0	0.0520511	0.324213	0	0	0
208	0.11232	0.00256122	0.00235699	0	0.0185806	0.36426	0	0.0514515	0.290848	0	0	0.00710003
209	0.11286	0.0021391	0	0	0.0185871	0.36906	0	0.0504394	0.246002	0.0134266	0.00146126	0.0319608
210	0.1134	0.00161107	0	0	0.018594	0.37495	0	0.0490887	0.192409	0.059866	0.00820579	0.0583524
211	0.11394	0.00101537	0	0	0.0186015	0.381463	0	0.0475002	0.133328	0.106055	0.0156357	0.0842365
212	0.11448	0.000400372	0	0	0.0186097	0.388037	0	0.0458073	0.0728225	0.147637	0.0230826	0.106828
213	0.11502	0	0	0	0.018619	0.394018	0	0.0441706	0.0159418	0.180223	0.0298096	0.123265
214	0.11556	0	0	0	0.0186293	0.398759	0	0.0427519	0	0.2002	0.0351377	0.13164
